location,2x_shots,3x_shots,rebounds,interceptions,losses,fouls,scores_dif
1,39,23,24,5,10,21,2
0,46,21,33,12,11,23,-9
1,45,27,31,3,12,28,-8
1,41,25,30,7,13,23,-8
0,37,26,28,8,14,23,-7
0,48,20,27,11,14,24,-12
0,47,22,33,3,7,21,-5
0,44,24,39,7,11,24,12
0,54,19,38,15,10,20,29
1,44,26,35,8,10,18,12
1,47,27,39,9,11,27,7
0,50,23,35,5,13,24,-27
1,46,18,26,13,9,25,-1
1,60,6,32,10,9,27,7
1,53,22,30,10,12,24,-8
1,43,12,28,7,14,21,-4
1,57,22,31,9,10,29,-6
0,47,22,43,9,13,15,-13
1,54,19,47,3,17,23,28
0,40,16,28,10,15,23,5
0,51,15,39,6,14,21,6
0,45,21,32,4,11,26,-16
